label,category,text
0,furniture_decor,"tudo perfeito.Ainda não recebi meu produto. Achei o que eu precisava, e só ve"
0,cool_stuff,"Excelente produto, entregue antes do prazo, entrega rápida.Tudo certo, recomendo a"
0,baby,"Cumpre com tudo que foi eu esperava. O produto chegou antes do prazo. Produto bom, dentro"
0,furniture_decor,muito bom. Mas o produto veio com defeito e não recebi nenhuma posição.Produto chegou ant
0,garden_tools,"Chegou em 5 dias... super rápido. Gostei muito!Recomendo.Otimo produto, ótimo preço"
1,housewares,produto entregue antes do prazo
1,furniture_decor,faltou uma peca na cadeira
1,auto,Entrega super rapida!
1,toys,"Entrega rapida mesmo para interior, produto correto e de qualidade. Recomendo"
1,cool_stuff,Recomendo sempre
